year_index,2014,2015,2016,2017,2018,2019,2020
minimum_generator_inservice_month,minimum_generator_inservice_month,generator_inservice_month,generator_inservice_month,generator_inservice_month,generator_inservice_month,generator_inservice_month,generator_inservice_month
minimum_generator_inservice_year,minimum_generator_inservice_year,generator_inservice_year,generator_inservice_year,generator_inservice_year,generator_inservice_year,generator_inservice_year,generator_inservice_year
maximum_generator_inservice_month,maximum_generator_retirement_month,generator_retirement_month,generator_retirement_month,generator_retirement_month,generator_retirement_month,generator_retirement_month,generator_retirement_month
maximum_generator_inservice_year,maximum_generator_retirement_year,generator_retirement_year,generator_retirement_year,generator_retirement_year,generator_retirement_year,generator_retirement_year,generator_retirement_year
minimum_boiler_inservice_month,minimum_boiler_inservice_month,boiler_inservice_month,boiler_inservice_month,boiler_inservice_month,boiler_inservice_month,boiler_inservice_month,boiler_inservice_month
minimum_boiler_inservice_year,minimum_boiler_inservice_year,boiler_inservice_year,boiler_inservice_year,boiler_inservice_year,boiler_inservice_year,boiler_inservice_year,boiler_inservice_year
maximum_boiler_inservice_month,maximum_boiler_retirement_month,boiler_retirement_month,boiler_retirement_month,boiler_retirement_month,boiler_retirement_month,boiler_retirement_month,boiler_retirement_month
maximum_boiler_inservice_year,maximum_boiler_retirement_year,boiler_retirement_year,boiler_retirement_year,boiler_retirement_year,boiler_retirement_year,boiler_retirement_year,boiler_retirement_year
minimum_cooling_inservice_month,minimum_cooling_inservice_month,cooling_inservice_month,cooling_inservice_month,cooling_inservice_month,cooling_inservice_month,cooling_inservice_month,cooling_inservice_month
minimum_cooling_inservice_year,minimum_cooling_inservice_year,cooling_inservice_year,cooling_inservice_year,cooling_inservice_year,cooling_inservice_year,cooling_inservice_year,cooling_inservice_year
maximum_cooling_inservice_month,maximum_cooling_retirement_month,,,,,,
maximum_cooling_inservice_year,maximum_cooling_retirement_year,,,,,,
